0,1,2,3,4,5,6,7,8
명예훼손 게시물,디지털치안데이터,2021-12-10 19:19:54 최초등록 , 2021-12-10 19:19:54 업데이트됨,                            CSV,                            0,33,0,           매월
인터넷사기 융합데이터,디지털치안데이터,2021-12-15 12:52:48 최초등록 , 2021-12-15 13:50:05 업데이트됨,                            CSV,                            무료 ,33,2,           매년
디지털 성폭력 융합데이터,디지털치안데이터,2021-12-15 12:56:09 최초등록 , 2021-12-15 13:49:51 업데이트됨,                            CSV,                            무료 ,33,5,           매년
전국 지진발생 분포지역,지역환경공공데이터,2021-12-15 12:57:31 최초등록 , 2021-12-17 18:55:35 업데이트됨,                            공간,"                            10,000",33,2,           매년
전국 비상벨 위치정보,지역환경공공데이터,2021-12-15 12:58:17 최초등록 , 2021-12-15 15:11:01 업데이트됨,                            공간,"                            10,000",33,0,           매반기
전국 학교 위치정보,지역환경공공데이터,2021-12-15 12:59:00 최초등록 , 2021-12-15 15:14:58 업데이트됨,                            공간,"                            10,000",33,0,           매반기
전국 스마트가로등 위치정보,지역환경공공데이터,2021-12-15 13:00:01 최초등록 , 2021-12-15 15:16:05 업데이트됨,                            공간,"                            10,000",33,0,           매반기
마약판매,치안데이터,2021-12-15 13:00:48 최초등록 , 2021-12-15 15:16:32 업데이트됨,                            CSV,"                            500,000",33,0,           매분기
공동주택 생활 지수,지역환경공공데이터,2021-12-10 18:54:51 최초등록 , 2021-12-17 19:25:24 업데이트됨,                            CSV,                            무료 ,33,31,           매월
공동주택 에너지 지수,지역환경공공데이터,2021-12-10 18:55:33 최초등록 , 2021-12-17 19:25:08 업데이트됨,                            CSV,                            무료 ,33,6,           매분기
공동주택 출입 지수,지역환경공공데이터,2021-12-10 18:57:34 최초등록 , 2021-12-17 19:24:53 업데이트됨,                            CSV,                            무료 ,33,9,           매분기
공동주택 주거안전(지수),지역환경공공데이터,2021-12-10 19:02:42 최초등록 , 2021-12-17 19:22:50 업데이트됨,                            CSV,                            무료 ,33,43,           매분기
공동주택 주거위험,지역환경공공데이터,2021-12-10 19:05:43 최초등록 , 2021-12-17 19:22:08 업데이트됨,                            CSV,                            무료 ,33,74,           매분기
개인정보 판매 알선 게시물,디지털치안데이터,2021-12-10 19:12:43 최초등록 , 2021-12-10 19:12:43 업데이트됨,                            CSV,                            0,33,0,           매월
개인정보 매입 알선 게시물,디지털치안데이터,2021-12-10 19:13:30 최초등록 , 2021-12-10 19:13:30 업데이트됨,                            CSV,                            0,33,0,           매월
불법 소프트웨어 판매 알선 게시물,디지털치안데이터,2021-12-10 19:14:16 최초등록 , 2021-12-10 19:14:16 업데이트됨,                            CSV,                            0,33,0,           매월
마약유통 알선 게시물,디지털치안데이터,2021-12-10 19:15:29 최초등록 , 2021-12-10 19:15:29 업데이트됨,                            CSV,                            0,33,0,           매월
온라인 불법유통 및 알선 게시물,디지털치안데이터,2021-12-10 19:16:05 최초등록 , 2021-12-10 19:16:05 업데이트됨,                            CSV,                            0,33,0,           매월
독극물 구매 알선 게시물,디지털치안데이터,2021-12-10 19:16:44 최초등록 , 2021-12-10 19:16:44 업데이트됨,                            CSV,                            0,33,0,           매월
성매매 업체 홍보 게시물,디지털치안데이터,2021-12-10 19:17:20 최초등록 , 2021-12-10 19:17:20 업데이트됨,                            CSV,                            0,33,0,           매월
통계청기준 행정동정보,지역환경공공데이터,2021-12-17 17:43:28 최초등록 , 2021-12-17 23:07:06 업데이트됨,                            공간,                            무료 ,34,29,           매년
행안부기준 시도,지역환경공공데이터,2021-12-17 17:44:06 최초등록 , 2021-12-17 23:06:54 업데이트됨,                            공간,                            무료 ,34,0,           매년
행안부기준 자치구정보,지역환경공공데이터,2021-12-17 17:44:35 최초등록 , 2021-12-17 23:06:44 업데이트됨,                            공간,                            무료 ,34,0,           매년
행안부기준 법정동정보,부동산,2021-12-17 17:45:11 최초등록 , 2021-12-27 11:47:50 업데이트됨,                            공간,                            무료 ,34,30,           매년
골목상권,지역환경공공데이터,2021-12-17 17:45:36 최초등록 , 2021-12-17 23:06:18 업데이트됨,                            공간,                            무료 ,34,44,           매년
관서별 사건 분석 통계,치안데이터,2021-12-22 10:27:38 최초등록 ,  업데이트됨,                            CSV,                            무료 ,34,0,           매년
신규 다크웹 포럼 게시글,디지털치안데이터,2021-12-29 15:05:47 최초등록 , 2021-12-29 15:11:26 업데이트됨,                            텍스트,                            미정,34,0,
도시구분과 관서별 여성안전지킴이집,지역환경공공데이터,2021-11-25 18:27:27 최초등록 , 2021-11-26 10:19:04 업데이트됨,                            공간,                            무료 ,33,3,           매반기
도시구분과 관서별 기타갬블링시설,지역환경공공데이터,2021-11-25 18:32:46 최초등록 , 2021-11-26 10:25:29 업데이트됨,                            공간,                            무료 ,33,0,           매반기
